Date,NASDAQ,Inflation_Rate
8/2/2013,3193.870117,232.937
9/2/2013,,232.937
10/2/2013,,232.937
11/2/2013,3192.0,232.937
12/2/2013,3186.48999,232.937
13/2/2013,3196.879883,232.937
14/2/2013,3198.659912,232.937
15/2/2013,3192.030029,232.937
16/2/2013,,232.937
17/2/2013,,232.937
18/2/2013,,232.937
19/2/2013,3213.590088,232.937
20/2/2013,3164.409912,232.937
21/2/2013,3131.48999,232.937
22/2/2013,3161.820068,232.937
23/2/2013,,232.937
24/2/2013,,232.937
25/2/2013,3116.25,232.937
26/2/2013,3129.649902,232.937
27/2/2013,3162.26001,232.937
28/2/2013,3160.189941,232.937
1/3/2013,3169.73999,232.282
2/3/2013,,232.282
3/3/2013,,232.282
4/3/2013,3182.030029,232.282
5/3/2013,3224.129883,232.282
6/3/2013,3222.370117,232.282
7/3/2013,3232.090088,232.282
8/3/2013,3244.370117,232.282
9/3/2013,,232.282
10/3/2013,,232.282
11/3/2013,3252.870117,232.282
12/3/2013,3242.320068,232.282
13/3/2013,3245.120117,232.282
14/3/2013,3258.929932,232.282
15/3/2013,3249.070068,232.282
16/3/2013,,232.282
17/3/2013,,232.282
18/3/2013,3237.590088,232.282
19/3/2013,3229.100098,232.282
20/3/2013,3254.189941,232.282
21/3/2013,3222.600098,232.282
22/3/2013,3245.0,232.282
23/3/2013,,232.282
24/3/2013,,232.282
25/3/2013,3235.300049,232.282
26/3/2013,3252.47998,232.282
27/3/2013,3256.52002,232.282
28/3/2013,3267.52002,232.282
29/3/2013,,232.282
30/3/2013,,232.282
31/3/2013,,232.282
1/4/2013,3239.169922,231.797
2/4/2013,3254.860107,231.797
3/4/2013,3218.600098,231.797
4/4/2013,3224.97998,231.797
5/4/2013,3203.860107,231.797
6/4/2013,,231.797
7/4/2013,,231.797
8/4/2013,3222.25,231.797
9/4/2013,3237.860107,231.797
10/4/2013,3297.25,231.797
11/4/2013,3300.159912,231.797
12/4/2013,3294.949951,231.797
13/4/2013,,231.797
14/4/2013,,231.797
15/4/2013,3216.48999,231.797
16/4/2013,3264.629883,231.797
17/4/2013,3204.669922,231.797
18/4/2013,3166.360107,231.797
19/4/2013,3206.060059,231.797
20/4/2013,,231.797
21/4/2013,,231.797
22/4/2013,3233.550049,231.797
23/4/2013,3269.330078,231.797
24/4/2013,3269.649902,231.797
25/4/2013,3289.98999,231.797
26/4/2013,3279.26001,231.797
27/4/2013,,231.797
28/4/2013,,231.797
29/4/2013,3307.02002,231.797
30/4/2013,3328.790039,231.797
1/5/2013,3299.129883,231.893
2/5/2013,3340.620117,231.893
3/5/2013,3378.629883,231.893
4/5/2013,,231.893
5/5/2013,,231.893
6/5/2013,3392.969971,231.893
7/5/2013,3396.629883,231.893
8/5/2013,3413.27002,231.893
9/5/2013,3409.169922,231.893
10/5/2013,3436.580078,231.893
11/5/2013,,231.893
12/5/2013,,231.893
13/5/2013,3438.790039,231.893
14/5/2013,3462.610107,231.893
15/5/2013,3471.620117,231.893
16/5/2013,3465.23999,231.893
17/5/2013,3498.969971,231.893
18/5/2013,,231.893
19/5/2013,,231.893
20/5/2013,3496.429932,231.893
21/5/2013,3502.120117,231.893
22/5/2013,3463.300049,231.893
23/5/2013,3459.419922,231.893
24/5/2013,3459.139893,231.893
25/5/2013,,231.893
26/5/2013,,231.893
27/5/2013,,231.893
28/5/2013,3488.889893,231.893
29/5/2013,3467.52002,231.893
30/5/2013,3491.300049,231.893
31/5/2013,3455.909912,231.893
1/6/2013,,232.445
2/6/2013,,232.445
3/6/2013,3465.370117,232.445
4/6/2013,3445.26001,232.445
5/6/2013,3401.47998,232.445
6/6/2013,3424.050049,232.445
7/6/2013,3469.219971,232.445
8/6/2013,,232.445
9/6/2013,,232.445
10/6/2013,3473.77002,232.445
11/6/2013,3436.949951,232.445
12/6/2013,3400.429932,232.445
13/6/2013,3445.360107,232.445
14/6/2013,3423.560059,232.445
15/6/2013,,232.445
16/6/2013,,232.445
17/6/2013,3452.129883,232.445
18/6/2013,3482.179932,232.445
19/6/2013,3443.199951,232.445
20/6/2013,3364.639893,232.445
21/6/2013,3357.25,232.445
22/6/2013,,232.445
23/6/2013,,232.445
24/6/2013,3320.76001,232.445
25/6/2013,3347.889893,232.445
26/6/2013,3376.219971,232.445
27/6/2013,3401.860107,232.445
28/6/2013,3403.25,232.445
29/6/2013,,232.445
30/6/2013,,232.445
1/7/2013,3434.48999,232.9
2/7/2013,3433.399902,232.9
3/7/2013,3443.669922,232.9
4/7/2013,,232.9
5/7/2013,3479.379883,232.9
6/7/2013,,232.9
7/7/2013,,232.9
8/7/2013,3484.830078,232.9
9/7/2013,3504.26001,232.9
10/7/2013,3520.76001,232.9
11/7/2013,3578.300049,232.9
12/7/2013,3600.080078,232.9
13/7/2013,,232.9
14/7/2013,,232.9
15/7/2013,3607.48999,232.9
16/7/2013,3598.5,232.9
17/7/2013,3610.0,232.9
18/7/2013,3611.280029,232.9
19/7/2013,3587.610107,232.9
20/7/2013,,232.9
21/7/2013,,232.9
22/7/2013,3600.389893,232.9
23/7/2013,3579.27002,232.9
24/7/2013,3579.600098,232.9
25/7/2013,3605.189941,232.9
26/7/2013,3613.159912,232.9
27/7/2013,,232.9
